severity,issue_class,subject,issue_type,scan_performed_on,status,insight,detection_method,risk,recommended_action
Moderate,Domains missing TLS Encryption,mizan.legal,Compliance violation,2026-06-14T00:55:14.418618Z,Active,Domains missing TLS Encryption. We have detected that there is no TLS encryption for this host.,"Your host accepts HTTP connections on port 80 but does not accept HTTPS connections on port 443. As a result, we have determined that you do not have TLS encryption set up for this host.",Unencrypted data in transit,Set up TLS encryption for your host. Update the SSL/TLS encryption mode to Full (strict) for this zone.
Low,Security.txt not configured,mizan.legal,Configuration suggestion,2026-06-13T16:28:14.2176Z,Active,Security.txt not configured. Configure and manage the Security.txt file to improve the website's vulnerability disclosure process,We evaluated the Security Settings configured for this domain and found that Security.txt is not enabled.,"The absence of Security.txt insights creates a lack of a clear, accessible method for researchers to report vulnerabilities. This can lead to security issues going unnoticed or under-reported, increasing the risk of exploitation.","Configure Security.txt file. "
Moderate,Bot Fight Mode not enabled,mizan.legal,Configuration suggestion,2026-06-14T06:37:37.965272Z,Active,,,,"Toggle Bot Fight Mode on. You can see bot-related actions by going to Security > Events. Any requests challenged by this product will be labeled Bot Fight Mode in the Service field. This allows you to observe, analyze, and follow trends in your bot traffic over time."
Low,Review unwanted AI crawlers with AI Labyrinth,mizan.legal,Configuration suggestion,2026-06-08T22:46:58.033249Z,Active,,,,"Enable AI Labyrinth. "
Moderate,Unproxied CNAME Record detected,accounts.mizan.legal,Exposed infrastructure,2026-06-14T06:17:52.870519Z,Active,"Unproxied CNAME Record detected. The DNS CNAME record for <b>%{domain}</b> is currently set to DNS-only. While it points to an external alias, it prevents Cloudflare from masking the connection path and allows traffic to bypass Cloudflare’s security. With <b>%{dns_queries}</b> queries observed in the last period, this hostname is active and visible. Attackers can resolve the CNAME chain to identify your infrastructure's provider and launch targeted attacks.",We reviewed your Cloudflare DNS settings and checked whether your hostname accepts connections on either port 80 or 443.,Vulnerable to DDoS attack,"Configure Cloudflare to proxy the DNS record. Switch the toggle to ""Proxied"" (Orange Cloud) in your DNS settings. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this protection will take effect within that timeframe, ensuring Cloudflare's edge handles the request and provides DDoS protection for the <b>%{dns_queries}</b> queries hitting this record."
Moderate,Unproxied CNAME Record detected,app.mizan.legal,Exposed infrastructure,2026-06-14T06:17:52.907916Z,Active,"Unproxied CNAME Record detected. The DNS CNAME record for <b>%{domain}</b> is currently set to DNS-only. While it points to an external alias, it prevents Cloudflare from masking the connection path and allows traffic to bypass Cloudflare’s security. With <b>%{dns_queries}</b> queries observed in the last period, this hostname is active and visible. Attackers can resolve the CNAME chain to identify your infrastructure's provider and launch targeted attacks.",We reviewed your Cloudflare DNS settings and checked whether your hostname accepts connections on either port 80 or 443.,Vulnerable to DDoS attack,"Configure Cloudflare to proxy the DNS record. Switch the toggle to ""Proxied"" (Orange Cloud) in your DNS settings. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this protection will take effect within that timeframe, ensuring Cloudflare's edge handles the request and provides DDoS protection for the <b>%{dns_queries}</b> queries hitting this record."
Low,DMARC Record Error detected,mizan.legal,Email Security,2026-06-14T06:17:52.764684Z,Active,"DMARC Record Error detected. Your email authentication records for <b>%{domain}</b> are missing or incorrectly configured. This is evaluated alongside your mail server at <b>%{mx_name}</b>. Without valid records, attackers can send fraudulent emails appearing to come from your domain. Furthermore, legitimate emails may be flagged as spam by recipients using strict verification.","In your DNS records, you have an MX record for this domain without a corresponding, correctly formed DMARC record.",Attackers can spoof your email domain,"Update your DNS settings. Update your DNS settings with a valid DMARC policy to authorize <b>%{mx_name}</b>. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this change will take effect within that timeframe, protecting your domain's reputation."
Low,DMARC Record Error detected,mizan.legal,Email Security,2026-06-14T06:17:52.742269Z,Active,"DMARC Record Error detected. Your email authentication records for <b>%{domain}</b> are missing or incorrectly configured. This is evaluated alongside your mail server at <b>%{mx_name}</b>. Without valid records, attackers can send fraudulent emails appearing to come from your domain. Furthermore, legitimate emails may be flagged as spam by recipients using strict verification.","In your DNS records, you have an MX record for this domain without a corresponding, correctly formed DMARC record.",Attackers can spoof your email domain,"Update your DNS settings. Update your DNS settings with a valid DMARC policy to authorize <b>%{mx_name}</b>. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this change will take effect within that timeframe, protecting your domain's reputation."
Low,DMARC Record Error detected,mizan.legal,Email Security,2026-06-14T06:17:52.727744Z,Active,"DMARC Record Error detected. Your email authentication records for <b>%{domain}</b> are missing or incorrectly configured. This is evaluated alongside your mail server at <b>%{mx_name}</b>. Without valid records, attackers can send fraudulent emails appearing to come from your domain. Furthermore, legitimate emails may be flagged as spam by recipients using strict verification.","In your DNS records, you have an MX record for this domain without a corresponding, correctly formed DMARC record.",Attackers can spoof your email domain,"Update your DNS settings. Update your DNS settings with a valid DMARC policy to authorize <b>%{mx_name}</b>. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this change will take effect within that timeframe, protecting your domain's reputation."
Low,DMARC Record Error detected,send.mizan.legal,Email Security,2026-06-14T06:17:52.757213Z,Active,"DMARC Record Error detected. Your email authentication records for <b>%{domain}</b> are missing or incorrectly configured. This is evaluated alongside your mail server at <b>%{mx_name}</b>. Without valid records, attackers can send fraudulent emails appearing to come from your domain. Furthermore, legitimate emails may be flagged as spam by recipients using strict verification.","In your DNS records, you have an MX record for this domain without a corresponding, correctly formed DMARC record.",Attackers can spoof your email domain,"Update your DNS settings. Update your DNS settings with a valid DMARC policy to authorize <b>%{mx_name}</b>. With a DNS TTL of <b>%{dns_ttl}</b> seconds, this change will take effect within that timeframe, protecting your domain's reputation."
